loan_id,age,salary,district,amount,payments,duration,rating
2229,64,10045,Ceske Budejovice,30000,500,60,C
5321,59,9065,Litomerice,30000,625,48,C
3725,44,9538,Pardubice,30000,625,48,C
2767,49,9897,Brno,30000,625,48,B
6175,29,9307,Kolin,30000,833,36,C
4573,31,10787,Plzen,30000,1250,24,A
69,56,8743,Brno - venkov,30000,2500,12,C
4723,36,8743,Brno - venkov,30000,625,48,C
2655,53,8561,Plzen - jih,30000,500,60,C
4666,43,9622,Praha - zapad,30000,1250,24,C
4463,38,8980,Beroun,30000,625,48,C
3508,50,8402,Prachatice,30000,500,60,C
5422,59,8427,Jindrichuv Hradec,30000,625,48,C
1236,41,9622,Praha - zapad,30000,1250,24,A
5650,54,8546,Kutna Hora,30000,625,48,C
107,24,9893,Frydek - Mistek,30000,2500,12,B
997,44,9538,Pardubice,30000,625,48,C
1194,54,8512,Zdar nad Sazavou,30000,2500,12,A
3935,43,10177,Karvina,30000,625,48,D
4985,32,12541,Praha,30000,500,60,D
17,44,8678,Novy Jicin,30000,833,36,C
5955,48,8363,Usti nad Orlici,30000,2500,12,A
3444,60,8561,Plzen - jih,30000,2500,12,A
3307,59,8814,Trebic,30000,1250,24,A
4005,36,11277,Mlada Boleslav,30000,833,36,C
2549,48,9538,Pardubice,30000,625,48,C
3520,57,8240,Blansko,30000,833,36,C
5490,43,8110,Bruntal,30000,625,48,D
3224,57,8547,Strakonice,30000,500,60,C
4485,29,9307,Kolin,30000,833,36,A
2812,63,8546,Kutna Hora,30000,1250,24,C
4791,44,8678,Novy Jicin,30000,833,36,C
1406,39,9317,Teplice,30000,1250,24,A
2307,36,8720,Hodonin,30000,833,36,A
1515,54,8546,Kutna Hora,30000,625,48,C
1595,32,9622,Praha - zapad,30000,1250,24,B
4373,36,9538,Pardubice,30000,833,36,C
4531,57,9893,Frydek - Mistek,30000,625,48,C
4656,35,9624,Zlin,30000,625,48,C
3239,62,8114,Pelhrimov,30000,833,36,C
76,35,8403,Znojmo,30000,625,48,C
1723,23,8546,Kutna Hora,30000,625,48,D
5661,29,10787,Plzen,30000,1250,24,C
3414,48,8547,Strakonice,30000,500,60,D
2749,27,8388,Havlickuv Brod,30000,625,48,C
1068,22,12541,Praha,30000,500,60,C
625,54,8390,Jicin,30000,500,60,C
3817,53,8743,Brno - venkov,30000,833,36,D
1198,28,9624,Zlin,30000,625,48,C
4265,42,8288,Vyskov,30000,1250,24,C
3156,45,10446,Most,30000,1250,24,A
4989,37,12541,Praha,30000,2500,12,A
6042,39,8173,Jesenik,30000,1250,24,C
1272,20,8507,Benesov,30000,500,60,C
2109,55,9893,Frydek - Mistek,30000,625,48,C
4829,55,8403,Znojmo,30000,1250,24,A
2888,54,8363,Usti nad Orlici,30000,833,36,C
4640,39,9622,Praha - zapad,30000,2500,12,A
840,50,8288,Vyskov,30000,833,36,A
3802,35,8867,Jablonec n. Nisou,30000,625,48,C
20,26,9538,Pardubice,30000,500,60,C
3737,47,12541,Praha,30000,625,48,A
1849,24,8930,Tachov,30000,833,36,A
133,50,8991,Karlovy Vary,30000,1250,24,C
2335,63,8441,Prostejov,30000,500,60,C
2256,46,8965,Louny,30000,2500,12,A
5780,36,9538,Pardubice,30000,833,36,C
4258,48,12541,Praha,30000,500,60,C
1543,28,8208,Semily,30000,2500,12,A
1640,40,8369,Nachod,30000,625,48,C
4264,62,8402,Prachatice,30000,2500,12,C
1208,48,12541,Praha,30000,625,48,C
2586,40,8594,Plzen - sever,30000,500,60,C
3347,40,8743,Brno - venkov,30000,833,36,A
917,27,12541,Praha,30000,833,36,C
1666,60,9307,Kolin,30000,833,36,C
3135,53,8743,Brno - venkov,30000,833,36,D
3639,22,9198,Liberec,30000,833,36,C
2102,64,8363,Usti nad Orlici,30000,500,60,C
3094,40,10673,Ostrava - mesto,30000,500,60,C
1098,33,8909,Vsetin,30000,2500,12,C
5405,36,8743,Brno - venkov,30000,625,48,C
3377,44,8187,Svitavy,30000,500,60,D
6113,47,10045,Ceske Budejovice,30000,625,48,C
2243,55,8754,Pribram,30000,2500,12,C
4822,65,8994,Olomouc,30000,625,48,C
6146,65,9675,Chomutov,30000,2500,12,A
3352,47,8512,Zdar nad Sazavou,30000,1250,24,A
1268,28,9624,Zlin,30000,2500,12,A
5199,60,8402,Prachatice,30000,625,48,C
689,59,10673,Ostrava - mesto,30000,2500,12,A
6121,36,10446,Most,30000,1250,24,A
3478,40,8743,Brno - venkov,30000,833,36,C
1455,51,9198,Liberec,30000,1250,24,C
3462,34,8546,Kutna Hora,30000,500,60,C
1498,51,8598,Rakovnik,30000,833,36,C
578,32,12541,Praha,30000,625,48,C
3766,37,12541,Praha,30000,2500,12,C
4695,35,8743,Brno - venkov,30000,1250,24,A
975,42,12541,Praha,30000,833,36,C
1705,41,8363,Usti nad Orlici,30000,500,60,D
5306,47,8757,Jihlava,30000,500,60,C
1740,42,12541,Praha,30000,1250,24,A
4136,52,8402,Prachatice,30000,2500,12,A
4929,36,12541,Praha,30000,1250,24,C
5242,33,8561,Plzen - jih,30000,2500,12,A
466,30,10124,Praha - vychod,30000,1250,24,C
3168,59,9317,Teplice,30000,2500,12,C
4982,55,8240,Blansko,30000,2500,12,A
4383,34,12541,Praha,30000,833,36,C
4001,39,12541,Praha,30000,2500,12,A
610,45,8254,Chrudim,30000,833,36,C
656,40,8554,Klatovy,30000,500,60,C
3805,37,8994,Olomouc,30000,500,60,D
2639,26,8991,Karlovy Vary,30000,833,36,C
3398,37,10177,Karvina,30000,1250,24,A
434,25,8444,Kromeriz,30000,625,48,C
1316,20,8507,Benesov,30000,833,36,C
4660,49,8444,Kromeriz,30000,2500,12,A
617,40,8624,Cheb,30000,625,48,C
5844,29,9307,Kolin,30000,833,36,C
3860,56,9624,Zlin,30000,500,60,C
2217,61,12541,Praha,30000,2500,12,A
194,36,8980,Beroun,30000,2500,12,A
1027,29,9307,Kolin,30000,833,36,C
538,31,9624,Zlin,30000,625,48,C
5732,54,8546,Kutna Hora,30000,833,36,C
2193,22,8363,Usti nad Orlici,30000,500,60,C
4913,54,10177,Karvina,30000,500,60,D
4112,26,9538,Pardubice,30000,500,60,C
4512,60,10177,Karvina,30000,500,60,C
4172,38,8187,Svitavy,30000,625,48,C
4743,42,9272,Ceska Lipa,30000,625,48,C
3630,58,12541,Praha,30000,833,36,C
2580,54,10787,Plzen,30000,500,60,D
209,24,12541,Praha,30000,625,48,C
630,30,8743,Brno - venkov,30000,500,60,C
3112,35,10673,Ostrava - mesto,30000,1250,24,C
560,43,8444,Kromeriz,30000,1250,24,C
3509,34,12541,Praha,30000,833,36,C
640,44,8678,Novy Jicin,30000,625,48,C
1771,53,8743,Brno - venkov,30000,833,36,D
5959,40,10177,Karvina,30000,2500,12,A
708,39,9893,Frydek - Mistek,30000,500,60,C
1959,36,11277,Mlada Boleslav,30000,833,36,C
4608,28,9624,Zlin,30000,625,48,C
4789,29,8965,Louny,30000,833,36,C
3065,37,10124,Praha - vychod,30000,1250,24,A
5308,54,10787,Plzen,30000,500,60,D
5759,53,8772,Breclav,30000,500,60,C
1037,51,8772,Breclav,30000,833,36,B
618,60,9104,Tabor,30000,2500,12,A
3225,36,8114,Pelhrimov,30000,1250,24,A
2024,24,12541,Praha,30000,1250,24,B
2701,45,8254,Chrudim,30000,500,60,C
6092,26,8991,Karlovy Vary,30000,833,36,C
4142,42,9065,Litomerice,30000,500,60,C
4016,35,9675,Chomutov,30000,2500,12,C
5157,36,9920,Melnik,30000,2500,12,C
859,41,10124,Praha - vychod,30000,625,48,C
6072,30,8403,Znojmo,30000,625,48,C
1179,36,8114,Pelhrimov,30000,1250,24,A
1444,38,8187,Svitavy,30000,625,48,C
3552,27,8968,Pisek,30000,625,48,C
249,33,10446,Most,30000,833,36,A
2288,51,8843,Rokycany,30000,1250,24,A
2476,33,9897,Brno,30000,500,60,C
782,21,12541,Praha,30000,1250,24,C
4468,42,12541,Praha,30000,1250,24,A
3165,50,12541,Praha,30000,1250,24,A
3972,28,8369,Sumperk,30000,2500,12,A
2483,50,12541,Praha,30000,1250,24,A
2205,64,8507,Benesov,30000,833,36,C
2401,51,8772,Breclav,30000,833,36,B
2956,23,8720,Hodonin,30000,625,48,C
5561,49,10673,Ostrava - mesto,30000,1250,24,C
2552,52,9893,Frydek - Mistek,30000,1250,24,A
3601,43,10673,Ostrava - mesto,30000,2500,12,A
4560,33,8561,Plzen - jih,30000,2500,12,A
3337,53,8561,Plzen - jih,30000,500,60,C
857,36,8909,Vsetin,30000,833,36,C
2087,45,8427,Jindrichuv Hradec,30000,2500,12,A
3608,36,8288,Vyskov,30000,833,36,C
4878,52,10177,Karvina,30000,1250,24,C
2263,51,9920,Melnik,30000,2500,12,A
3757,37,8390,Jicin,30000,500,60,C
1381,44,8678,Novy Jicin,30000,833,36,C
4292,20,8757,Jihlava,30000,1250,24,C
4641,48,10673,Ostrava - mesto,30000,500,60,C
1118,51,9104,Tabor,30000,500,60,C
2752,53,12541,Praha,30000,1250,24,B
4618,48,12541,Praha,30000,625,48,C
3449,49,9897,Brno,30000,625,48,B
1127,50,8402,Prachatice,30000,1250,24,C
3170,42,12541,Praha,30000,1250,24,C
6101,27,12541,Praha,30000,833,36,A
2927,38,8388,Havlickuv Brod,30000,625,48,C
6074,48,10177,Karvina,30000,1250,24,D
4237,46,8705,Decin,30000,2500,12,C
4506,46,12541,Praha,30000,500,60,C
1315,21,8427,Jindrichuv Hradec,30000,833,36,C
526,48,12541,Praha,30000,625,48,C
3160,27,8772,Breclav,30000,2500,12,C
5423,44,8187,Svitavy,30000,500,60,D
4226,51,8598,Rakovnik,30000,833,36,C
6016,43,12541,Praha,30000,1250,24,C
1485,20,12541,Praha,30000,833,36,C
5448,52,8705,Decin,30000,1250,24,C
3466,64,8363,Usti nad Orlici,30000,500,60,C
2999,45,11277,Mlada Boleslav,30000,1250,24,C
1761,56,12541,Praha,30000,2500,12,A
686,48,8547,Strakonice,30000,500,60,D
4579,25,8444,Kromeriz,30000,1250,24,C
362,37,9897,Brno,30000,1250,24,C
3475,58,8544,Uherske Hradiste,30000,625,48,C
6141,41,12541,Praha,30000,833,36,C
4509,57,9307,Kolin,30000,1250,24,A
2374,58,9425,Hradec Kralove,30000,625,48,C
1530,48,12541,Praha,30000,500,60,C
1055,34,9060,Rychnov nad Kneznou,30000,500,60,C
2364,47,9753,Kladno,30000,500,60,C
3628,60,9897,Brno,30000,2500,12,A
5837,49,12541,Praha,30000,833,36,C
4908,51,8598,Rakovnik,30000,833,36,C
347,37,8390,Jicin,30000,500,60,C
1149,58,9198,Liberec,30000,833,36,C
2153,24,9893,Frydek - Mistek,30000,2500,12,B
4995,51,8254,Chrudim,30000,1250,24,C
4548,48,8363,Usti nad Orlici,30000,2500,12,A
4177,60,9538,Pardubice,30000,625,48,C
6084,57,8363,Usti nad Orlici,30000,625,48,C
3624,43,12541,Praha,30000,2500,12,A
2021,47,8427,Jindrichuv Hradec,30000,833,36,C
2500,49,8705,Decin,30000,1250,24,A
6060,49,8746,Opava,30000,500,60,C
4149,50,8363,Usti nad Orlici,30000,500,60,C
3138,43,8369,Nachod,30000,2500,12,A
2730,61,9104,Tabor,30000,2500,12,B
2784,64,8363,Usti nad Orlici,30000,500,60,C
4524,27,8772,Breclav,30000,2500,12,C
1099,57,9307,Kolin,30000,1250,24,A
523,45,9624,Zlin,30000,833,36,A
2760,44,10177,Karvina,30000,625,48,C
4947,42,8288,Vyskov,30000,1250,24,C
3885,42,9897,Brno,30000,500,60,C
1074,35,8867,Jablonec n. Nisou,30000,625,48,C
1733,51,9624,Zlin,30000,625,48,C
2061,29,8965,Louny,30000,833,36,C
2494,51,8363,Usti nad Orlici,30000,2500,12,A
3783,34,9060,Rychnov nad Kneznou,30000,500,60,C
3302,43,9622,Praha - zapad,30000,1250,24,C
2731,38,9893,Frydek - Mistek,30000,2500,12,A
2160,23,9897,Brno,30000,833,36,C
301,57,9893,Frydek - Mistek,30000,2500,12,C
2183,21,8705,Decin,30000,1250,24,A
5052,21,10787,Plzen,30000,625,48,C
3497,57,8678,Novy Jicin,30000,1250,24,C
4717,54,8390,Jicin,30000,500,60,C
4299,22,9060,Rychnov nad Kneznou,30000,500,60,C
1034,30,9538,Pardubice,30000,1250,24,A
3902,38,9060,Rychnov nad Kneznou,30000,1250,24,A
1689,29,8994,Olomouc,30000,833,36,C
2589,39,8173,Jesenik,30000,1250,24,C
61,32,9622,Praha - zapad,30000,625,48,A
528,52,9538,Pardubice,30000,1250,24,C
5359,57,8363,Usti nad Orlici,30000,625,48,C
175,36,8909,Vsetin,30000,833,36,C
3742,38,9045,Cesky Krumlov,30000,2500,12,A
208,55,8240,Blansko,30000,2500,12,A
2712,30,8427,Jindrichuv Hradec,30000,2500,12,A
4589,36,8114,Pelhrimov,30000,1250,24,A
5565,38,8598,Rakovnik,30000,833,36,C
4722,30,8743,Brno - venkov,30000,500,60,C
4097,60,8402,Prachatice,30000,625,48,C
1967,35,8743,Brno - venkov,30000,1250,24,A
3884,50,8746,Opava,30000,500,60,D
1009,47,12541,Praha,30000,625,48,A
5951,52,8965,Louny,30000,625,48,C
1521,22,8746,Opava,30000,625,48,C
5327,26,10177,Karvina,30000,2500,12,A
5634,29,12541,Praha,30000,833,36,C
168,51,10673,Ostrava - mesto,30000,500,60,C
1261,59,8814,Trebic,30000,1250,24,A
128,30,8930,Tachov,30000,1250,24,A
4050,44,8678,Novy Jicin,30000,625,48,C
1334,46,12541,Praha,30000,833,36,A
4073,23,8444,Kromeriz,30000,500,60,C
5520,27,8388,Havlickuv Brod,30000,625,48,C
5846,37,8390,Jicin,30000,500,60,C
3682,50,8746,Opava,30000,833,36,C
5252,32,9065,Litomerice,30000,1250,24,A
1825,50,8173,Jesenik,30000,1250,24,A
4302,46,8965,Louny,30000,2500,12,A
2982,65,8746,Opava,30000,1250,24,B
6102,35,8743,Brno - venkov,30000,1250,24,A
2234,61,8843,Rokycany,30000,500,60,D
1814,56,9624,Zlin,30000,500,60,C
810,30,8930,Tachov,30000,1250,24,A
3834,38,9893,Frydek - Mistek,30000,2500,12,A
5138,58,9675,Chomutov,30000,625,48,C
3821,52,8743,Brno - venkov,30000,833,36,A
675,27,9045,Cesky Krumlov,30000,2500,12,A
1117,26,8427,Jindrichuv Hradec,30000,625,48,C
1893,35,12541,Praha,30000,2500,12,A
5226,52,8965,Louny,30000,625,48,C
3922,54,8512,Zdar nad Sazavou,30000,2500,12,A
240,44,9624,Zlin,30000,833,36,C
1278,56,12541,Praha,30000,625,48,C
503,48,9538,Pardubice,30000,625,48,C
5341,39,12541,Praha,30000,833,36,C
614,47,10045,Ceske Budejovice,30000,625,48,C
936,65,8746,Opava,30000,1250,24,B
2490,53,8598,Rakovnik,30000,2500,12,C
2553,58,10673,Ostrava - mesto,30000,833,36,B
919,41,8512,Zdar nad Sazavou,30000,1250,24,A
1983,40,8743,Brno - venkov,30000,833,36,A
1569,23,8187,Svitavy,30000,1250,24,C
5099,29,8994,Olomouc,30000,833,36,C
2365,60,8369,Sumperk,30000,625,48,C
4290,36,8288,Vyskov,30000,833,36,C
3026,36,8994,Olomouc,30000,625,48,C
998,51,9317,Teplice,30000,500,60,C
3348,51,8620,Domazlice,30000,833,36,D
833,54,8546,Kutna Hora,30000,625,48,C
4671,59,8814,Trebic,30000,1250,24,A
5915,33,8909,Vsetin,30000,2500,12,C
5547,65,8994,Olomouc,30000,625,48,C
5631,51,12541,Praha,30000,500,60,C
317,40,8594,Plzen - sever,30000,833,36,C
5028,65,8746,Opava,30000,1250,24,B
6166,45,8594,Plzen - sever,30000,500,60,C
2434,33,12541,Praha,30000,500,60,C
900,60,9897,Brno,30000,2500,12,A
5294,28,12541,Praha,30000,500,60,C
5722,40,9065,Litomerice,30000,1250,24,C
5102,58,9425,Hradec Kralove,30000,625,48,C
2441,37,8994,Olomouc,30000,500,60,D
306,64,12541,Praha,30000,625,48,D
1437,43,8402,Prachatice,30000,1250,24,A
5156,34,8546,Kutna Hora,30000,2500,12,C
2340,37,8240,Blansko,30000,1250,24,A
5971,32,8930,Tachov,30000,625,48,A
3962,20,9272,Ceska Lipa,30000,2500,12,A
3430,26,9538,Pardubice,30000,500,60,C
4702,45,8254,Chrudim,30000,833,36,C
4927,27,9624,Zlin,30000,625,48,C
502,20,9897,Brno,30000,2500,12,C
2016,46,12541,Praha,30000,833,36,A
1293,35,8561,Plzen - jih,30000,2500,12,C
4439,37,8390,Jicin,30000,500,60,C
4873,34,12541,Praha,30000,833,36,C
5910,52,8743,Brno - venkov,30000,833,36,A
3157,42,8288,Vyskov,30000,833,36,A
4220,30,8930,Tachov,30000,1250,24,A
1318,22,12541,Praha,30000,2500,12,C
821,54,10177,Karvina,30000,500,60,D
2665,40,8743,Brno - venkov,30000,833,36,A
4741,44,8187,Svitavy,30000,500,60,D
2813,60,9538,Pardubice,30000,625,48,C
3440,40,11277,Mlada Boleslav,30000,1250,24,D
1960,56,12541,Praha,30000,625,48,C
2173,49,8402,Prachatice,30000,500,60,C
2968,44,9624,Zlin,30000,833,36,C
3059,57,8899,Nymburk,30000,500,60,C
3481,59,8240,Blansko,30000,2500,12,A
2585,60,8772,Breclav,30000,500,60,C
5943,53,8598,Rakovnik,30000,2500,12,C
4634,53,8994,Olomouc,30000,2500,12,B
6109,45,8254,Chrudim,30000,833,36,C
2900,62,8402,Prachatice,30000,2500,12,C
2025,42,9272,Ceska Lipa,30000,1250,24,C
1581,51,9920,Melnik,30000,2500,12,A
3062,21,8720,Hodonin,30000,2500,12,A
24,53,12541,Praha,30000,1250,24,B
2711,37,9065,Litomerice,30000,625,48,C
345,29,9307,Kolin,30000,833,36,C
4665,30,8403,Znojmo,30000,625,48,C
747,58,8544,Uherske Hradiste,30000,625,48,C
5828,43,9045,Cesky Krumlov,30000,500,60,C
1718,62,12541,Praha,30000,1250,24,A
2506,40,10177,Karvina,30000,2500,12,A
3606,48,8288,Vyskov,30000,2500,12,A
3111,36,9920,Melnik,30000,2500,12,C
1870,52,9893,Frydek - Mistek,30000,1250,24,A
4720,42,10177,Karvina,30000,625,48,C
5130,37,12541,Praha,30000,2500,12,C
1493,55,9675,Chomutov,30000,625,48,C
978,47,8598,Rakovnik,30000,1250,24,B
2786,21,8390,Jicin,30000,833,36,C
2529,24,12541,Praha,30000,2500,12,A
4798,53,12541,Praha,30000,1250,24,B
4928,29,8441,Prostejov,30000,500,60,C
5115,41,8363,Usti nad Orlici,30000,500,60,D
2780,34,8546,Kutna Hora,30000,500,60,C
2330,65,10045,Ceske Budejovice,30000,1250,24,A
2657,35,8561,Plzen - jih,30000,2500,12,C
5666,47,9893,Frydek - Mistek,30000,500,60,C
515,21,12541,Praha,30000,625,48,C
3446,44,12541,Praha,30000,2500,12,A
1958,22,9624,Zlin,30000,833,36,C
1909,28,9622,Praha - zapad,30000,625,48,C
1328,24,8369,Sumperk,30000,500,60,C
4075,37,9065,Litomerice,30000,625,48,C
534,54,10787,Plzen,30000,500,60,D
18,27,10045,Ceske Budejovice,30000,625,48,C
366,40,10673,Ostrava - mesto,30000,500,60,C
3932,43,10177,Karvina,30000,625,48,C
3513,30,12541,Praha,30000,1250,24,C
4229,21,8705,Decin,30000,1250,24,A
739,50,8363,Usti nad Orlici,30000,500,60,C
185,46,8965,Louny,30000,1250,24,C
1835,59,10673,Ostrava - mesto,30000,833,36,A
3763,60,8909,Vsetin,30000,500,60,B
2575,35,12541,Praha,30000,2500,12,A
3392,59,8369,Nachod,30000,625,48,A
1032,38,8187,Svitavy,30000,1250,24,A
5149,22,10177,Karvina,30000,2500,12,A
2486,59,9317,Teplice,30000,2500,12,C
609,53,8561,Plzen - jih,30000,500,60,C
5218,53,8598,Rakovnik,30000,2500,12,C
4197,45,10787,Plzen,30000,625,48,C
5192,45,8208,Semily,30000,500,60,C
178,20,8254,Chrudim,30000,833,36,D
4441,56,8561,Plzen - jih,30000,625,48,C
1908,31,8843,Rokycany,30000,1250,24,C
2527,31,10787,Plzen,30000,1250,24,A
2851,44,8541,Trutnov,30000,1250,24,C
1716,30,9538,Pardubice,30000,1250,24,A
2870,27,8968,Pisek,30000,625,48,C
654,30,8598,Rakovnik,30000,833,36,A
4886,30,9065,Litomerice,30000,500,60,C
6130,36,8743,Brno - venkov,30000,625,48,C
4966,48,10673,Ostrava - mesto,30000,2500,12,B
590,20,8507,Benesov,30000,500,60,C
2765,48,9104,Tabor,30000,833,36,C
1700,20,9307,Kolin,30000,500,60,C
3079,43,8720,Hodonin,30000,625,48,A
3879,33,9538,Pardubice,30000,1250,24,C
5329,62,8444,Kromeriz,30000,1250,24,C
2818,47,8930,Tachov,30000,833,36,C
4974,20,8757,Jihlava,30000,1250,24,C
3074,43,8980,Beroun,30000,2500,12,A
338,49,12541,Praha,30000,833,36,C
2296,39,12541,Praha,30000,2500,12,A
6043,31,8843,Rokycany,30000,1250,24,C
2991,53,8561,Plzen - jih,30000,625,48,C
5978,35,8390,Jicin,30000,833,36,A
2006,41,12541,Praha,30000,833,36,C
2306,53,8772,Breclav,30000,500,60,C
5154,24,8814,Trebic,30000,2500,12,A
1836,32,8930,Tachov,30000,625,48,A
4932,50,8288,Vyskov,30000,833,36,A
639,62,9198,Liberec,30000,500,60,C
1252,29,12541,Praha,30000,833,36,C
5689,46,12541,Praha,30000,833,36,C
1900,62,8899,Nymburk,30000,833,36,C
794,30,9065,Litomerice,30000,500,60,C
6129,30,8743,Brno - venkov,30000,500,60,C
4664,56,10673,Ostrava - mesto,30000,1250,24,A
3474,29,8403,Znojmo,30000,625,48,D
2134,60,8594,Plzen - sever,30000,833,36,A
3810,31,8980,Beroun,30000,1250,24,C
3586,53,8388,Havlickuv Brod,30000,625,48,C
2858,42,8746,Opava,30000,833,36,D
1473,61,8388,Havlickuv Brod,30000,2500,12,A
851,61,10124,Praha - vychod,30000,500,60,C
5797,36,8994,Olomouc,30000,625,48,C
122,58,8930,Tachov,30000,2500,12,A
1808,53,8598,Rakovnik,30000,2500,12,C
60,37,8547,Strakonice,30000,1250,24,B
2033,41,8819,Prerov,30000,833,36,A
2386,61,10045,Ceske Budejovice,30000,625,48,C
5521,53,8369,Nachod,30000,500,60,C
2202,38,8363,Usti nad Orlici,30000,2500,12,A
5328,41,9622,Praha - zapad,30000,1250,24,A
682,38,8110,Bruntal,30000,1250,24,A
5086,34,8208,Semily,30000,500,60,C
3929,39,8544,Uherske Hradiste,30000,1250,24,C
3173,50,8402,Prachatice,30000,1250,24,C
5351,37,8965,Louny,30000,833,36,C
566,51,8899,Nymburk,30000,500,60,C
4469,24,12541,Praha,30000,2500,12,A
4781,59,10673,Ostrava - mesto,30000,2500,12,A
4964,46,12541,Praha,30000,833,36,C
1026,33,10177,Karvina,30000,500,60,C
4492,31,8980,Beroun,30000,1250,24,C
1973,53,8561,Plzen - jih,30000,500,60,C
